2023-02-01 15:36:45,602 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-01 15:36:45,602 | MainThread   | [INFO    ] | <module>            |: info
2023-02-01 15:36:45,603 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-01 15:36:45,604 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-01 15:36:45,605 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-01 15:36:45,624 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-01 15:36:45,624 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-01 15:36:45,625 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-01 15:39:08,032 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-01 15:39:08,033 | MainThread   | [INFO    ] | <module>            |: info
2023-02-01 15:39:08,034 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-01 15:39:08,034 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-01 15:39:08,035 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-01 15:39:10,170 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-01 15:50:22,410 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-01 15:50:24,971 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-01 15:50:53,353 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-01 15:51:37,557 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-01 15:51:40,155 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-01 15:51:49,738 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-01 16:33:54,517 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-01 16:33:54,518 | MainThread   | [INFO    ] | <module>            |: info
2023-02-01 16:33:54,519 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-01 16:33:54,520 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-01 16:33:54,522 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-01 16:33:58,217 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-01 16:34:00,878 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-01 16:45:43,358 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-01 16:46:22,564 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-01 16:46:25,066 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-01 16:47:35,633 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-01 16:47:54,118 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-01 16:47:56,616 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-01 16:49:31,167 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 11:52:53,310 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-11 11:52:53,311 | MainThread   | [INFO    ] | <module>            |: info
2023-02-11 11:52:53,312 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-11 11:52:53,312 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-11 11:52:53,313 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-11 11:52:57,682 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-11 11:52:57,683 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-11 11:52:57,683 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 11:57:44,231 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 11:57:46,813 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 11:58:20,656 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 13:07:56,974 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 13:07:59,489 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 13:09:48,401 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 13:10:00,336 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 13:10:02,999 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 13:11:48,984 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-11 13:11:48,985 | MainThread   | [INFO    ] | <module>            |: info
2023-02-11 13:11:48,986 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-11 13:11:48,986 | MainThread   | [ERROR   ] | <module>            |: error
